PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
A'JA WILSON,LVA,LVA @ ATL,08/22/2023,W,33,53,16,23,69.6,1,1,100,20,21,95.2,0,7,7,0,0,4,2,3,24
A'JA WILSON,LVA,LVA vs. LAS,08/19/2023,L,33,25,10,21,47.6,0,1,0,5,5,100,6,3,9,0,3,1,2,2,-14
A'JA WILSON,LVA,LVA vs. NYL,08/17/2023,W,33,21,7,13,53.8,0,0,0,7,8,87.5,2,6,8,1,1,0,0,3,7
A'JA WILSON,LVA,LVA vs. ATL,08/13/2023,W,31,21,9,22,40.9,0,1,0,3,5,60,4,5,9,3,5,2,4,3,19
A'JA WILSON,LVA,LVA vs. WAS,11/8/2023,W,31,40,17,25,68,0,1,0,6,7,85.7,1,11,12,1,2,1,1,3,16
A'JA WILSON,LVA,LVA @ DAL,8/8/2023,W,24,28,10,18,55.6,0,0,0,8,8,100,4,10,14,1,0,0,0,0,34
A'JA WILSON,LVA,LVA @ NYL,6/8/2023,L,25,9,2,14,14.3,0,0,0,5,6,83.3,0,7,7,2,1,3,0,1,-14
A'JA WILSON,LVA,LVA vs. ATL,1/8/2023,W,26,20,6,12,50,0,1,0,8,9,88.9,1,10,11,1,2,1,1,1,7
A'JA WILSON,LVA,LVA vs. DAL,07/30/2023,W,36,22,7,15,46.7,1,3,33.3,7,7,100,1,6,7,1,0,6,1,3,19
A'JA WILSON,LVA,LVA @ CHI,07/25/2023,W,30,24,9,14,64.3,0,0,0,6,7,85.7,1,3,4,4,3,4,1,5,0
A'JA WILSON,LVA,LVA @ MIN,07/22/2023,W,34,35,14,17,82.4,0,0,0,7,9,77.8,1,13,14,2,3,0,2,0,21
A'JA WILSON,LVA,LVA @ SEA,07/20/2023,W,35,23,9,15,60,0,0,0,5,8,62.5,4,11,15,0,3,3,1,4,20
A'JA WILSON,LVA,LVA @ LAS,12/7/2023,W,31,25,9,14,64.3,1,1,100,6,7,85.7,4,8,12,0,0,2,2,2,29
A'JA WILSON,LVA,LVA vs. PHO,11/7/2023,W,27,20,9,14,64.3,0,0,0,2,3,66.7,0,8,8,1,0,2,0,1,26
A'JA WILSON,LVA,LVA @ MIN,9/7/2023,W,27,15,6,8,75,1,1,100,2,6,33.3,2,8,10,3,3,4,3,1,29
A'JA WILSON,LVA,LVA @ DAL,7/7/2023,L,34,18,5,13,38.5,0,0,0,8,9,88.9,1,4,5,1,1,2,3,2,1
A'JA WILSON,LVA,LVA vs. DAL,5/7/2023,W,36,22,6,18,33.3,0,1,0,10,12,83.3,4,9,13,1,0,3,1,4,-3
A'JA WILSON,LVA,LVA vs. CON,1/7/2023,W,29,23,8,15,53.3,0,0,0,7,8,87.5,4,9,13,5,1,1,1,2,28
A'JA WILSON,LVA,LVA vs. NYL,06/29/2023,W,31,16,6,9,66.7,0,1,0,4,4,100,1,2,3,3,0,0,2,2,15
A'JA WILSON,LVA,LVA vs. IND,06/26/2023,W,34,24,8,17,47.1,1,2,50,7,7,100,5,5,10,3,3,3,3,4,1
A'JA WILSON,LVA,LVA vs. IND,06/24/2023,W,30,28,8,15,53.3,1,3,33.3,11,16,68.8,3,7,10,3,0,2,1,4,3
A'JA WILSON,LVA,LVA @ PHO,06/21/2023,W,26,20,7,12,58.3,0,0,0,6,10,60,3,9,12,0,0,2,2,4,22
A'JA WILSON,LVA,LVA vs. MIN,06/18/2023,W,25,8,4,14,28.6,0,1,0,0,0,0,2,12,14,1,0,4,0,1,25
A'JA WILSON,LVA,LVA vs. SEA,06/15/2023,W,29,14,5,9,55.6,0,1,0,4,6,66.7,1,11,12,1,2,1,0,1,22
A'JA WILSON,LVA,LVA vs. CHI,11/6/2023,W,28,21,8,15,53.3,0,0,0,5,7,71.4,4,6,10,3,0,0,3,1,18
A'JA WILSON,LVA,LVA @ CON,8/6/2023,L,30,13,5,10,50,0,0,0,3,4,75,1,1,2,4,3,1,1,0,-22
A'JA WILSON,LVA,LVA @ CON,6/6/2023,W,35,23,9,13,69.2,0,0,0,5,6,83.3,2,8,10,1,2,4,2,4,6
A'JA WILSON,LVA,LVA @ IND,4/6/2023,W,36,27,10,18,55.6,0,2,0,7,10,70,0,10,10,4,2,4,1,3,13
A'JA WILSON,LVA,LVA @ ATL,2/6/2023,W,33,21,9,16,56.3,0,1,0,3,5,60,0,5,5,3,1,3,0,1,-1
A'JA WILSON,LVA,LVA vs. MIN,05/28/2023,W,30,21,6,10,60,0,1,0,9,10,90,2,3,5,2,1,2,2,1,14
A'JA WILSON,LVA,LVA vs. LAS,05/27/2023,W,24,23,10,13,76.9,0,1,0,3,4,75,1,5,6,3,3,2,0,3,26
A'JA WILSON,LVA,LVA @ LAS,05/25/2023,W,32,19,4,12,33.3,0,1,0,11,13,84.6,4,9,13,1,1,2,3,3,6
A'JA WILSON,LVA,LVA @ SEA,05/20/2023,W,27,13,6,13,46.2,0,0,0,1,1,100,1,12,13,1,1,1,2,1,19
AARI MCDONALD,ATL,ATL vs. LVA,08/22/2023,L,25,11,4,8,50,2,4,50,1,1,100,0,3,3,1,1,0,4,2,-15
AARI MCDONALD,ATL,ATL vs. CHI,08/18/2023,W,30,3,1,7,14.3,1,5,20,0,0,0,0,1,1,7,0,0,0,2,3
AARI MCDONALD,ATL,ATL @ LVA,08/13/2023,L,22,2,1,6,16.7,0,3,0,0,0,0,0,3,3,2,0,0,2,3,-13
AARI MCDONALD,ATL,ATL @ LAS,12/8/2023,L,21,15,5,10,50,1,4,25,4,4,100,0,2,2,2,1,0,2,1,-10
AARI MCDONALD,ATL,ATL @ SEA,10/8/2023,L,19,10,4,5,80,2,2,100,0,2,0,0,3,3,3,2,0,2,1,-6
AARI MCDONALD,ATL,ATL vs. IND,6/8/2023,W,14,3,1,3,33.3,1,2,50,0,0,0,1,1,2,1,0,0,3,3,-3
AARI MCDONALD,ATL,ATL @ PHO,3/8/2023,L,22,4,1,1,100,0,0,0,2,2,100,0,1,1,5,3,0,1,2,-5
AARI MCDONALD,ATL,ATL @ LVA,1/8/2023,L,19,0,0,5,0,0,2,0,0,0,0,1,1,2,3,0,0,2,2,-15
AARI MCDONALD,ATL,ATL vs. WAS,07/30/2023,W,24,7,2,5,40,0,3,0,3,3,100,0,2,2,5,0,0,1,1,2
AARI MCDONALD,ATL,ATL @ NYL,07/27/2023,L,28,18,4,9,44.4,3,8,37.5,7,9,77.8,0,3,3,5,0,0,1,1,2
AARI MCDONALD,ATL,ATL vs. PHO,07/25/2023,W,18,11,5,7,71.4,0,1,0,1,1,100,1,2,3,0,0,0,2,1,-1
AARI MCDONALD,ATL,ATL vs. CON,07/22/2023,L,27,14,5,11,45.5,1,5,20,3,4,75,1,0,1,0,0,0,0,1,-2
AARI MCDONALD,ATL,ATL @ CON,07/20/2023,L,16,7,3,9,33.3,1,4,25,0,0,0,0,2,2,1,1,0,1,1,1
AARI MCDONALD,ATL,ATL vs. LVA,2/6/2023,L,26,5,2,8,25,1,4,25,0,1,0,0,2,2,7,0,0,4,0,0
AARI MCDONALD,ATL,ATL vs. CHI,05/30/2023,W,28,8,3,5,60,1,1,100,1,2,50,0,3,3,2,1,0,0,3,12
AARI MCDONALD,ATL,ATL vs. IND,05/28/2023,L,30,5,1,6,16.7,1,3,33.3,2,2,100,0,2,2,3,0,0,1,2,1
AARI MCDONALD,ATL,ATL @ MIN,05/23/2023,W,30,6,2,8,25,1,5,20,1,2,50,0,3,3,6,0,0,2,2,-1
AARI MCDONALD,ATL,ATL @ DAL,05/20/2023,L,30,6,2,11,18.2,2,7,28.6,0,1,0,0,2,2,1,0,0,3,4,-8
ABBY MEYERS,WAS,WAS @ DAL,07/28/2023,L,5,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABBY MEYERS,WAS,WAS @ MIN,07/26/2023,L,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
ABBY MEYERS,WAS,WAS vs. PHO,07/23/2023,W,1,2,0,1,0,0,1,0,2,2,100,0,0,0,0,1,0,0,0,-1
ABBY MEYERS,WAS,WAS vs. NYL,07/21/2023,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABBY MEYERS,WAS,WAS @ DAL,2/7/2023,L,2,3,1,2,50,0,0,0,1,1,100,0,0,0,0,0,1,0,0,0
ABBY MEYERS,WAS,WAS @ ATL,06/30/2023,L,3,2,1,1,100,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6
ABBY MEYERS,WAS,WAS vs. ATL,06/28/2023,W,10,2,1,2,50,0,1,0,0,0,0,1,1,2,0,0,1,1,1,7
ABBY MEYERS,WAS,WAS @ NYL,06/25/2023,L,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-3
ABBY MEYERS,WAS,WAS @ CHI,06/22/2023,W,6,2,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
AERIAL POWERS,MIN,MIN vs. SEA,08/20/2023,L,16,12,4,6,66.7,0,0,0,4,4,100,0,4,4,0,0,0,1,0,0
AERIAL POWERS,MIN,MIN @ IND,10/8/2023,L,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-3
AERIAL POWERS,MIN,MIN @ CHI,8/8/2023,W,3,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,1,0,2
AERIAL POWERS,MIN,MIN @ CON,1/8/2023,L,10,2,0,3,0,0,1,0,2,2,100,0,0,0,1,0,0,2,1,-7
AERIAL POWERS,MIN,MIN @ CON,07/30/2023,W,23,14,6,8,75,1,1,100,1,1,100,0,2,2,3,0,1,4,2,2
AERIAL POWERS,MIN,MIN vs. LVA,07/22/2023,L,8,7,3,8,37.5,0,2,0,1,1,100,1,3,4,0,0,0,0,0,-1
AERIAL POWERS,MIN,MIN vs. LAS,07/20/2023,W,4,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-5
AERIAL POWERS,MIN,MIN @ WAS,3/6/2023,W,4,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-5
