Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,State/Province,Top_25_player,G.1,MP.1,Pos_C,Pos_F,Pos_F-C,Pos_F-G,Pos_G,Pos_G-F,Pos_SF-SG,Team_ATL,Team_BOS,Team_BRK,Team_CHI,Team_CHO,Team_CLE,Team_CON,Team_DAL,Team_DEN,Team_DET,Team_GSW,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_LAS,Team_LVA,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NOP,Team_NYK,Team_NYL,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SAC,Team_SAS,Team_SEA,Team_TOR,Team_TOT,Team_UTA,Team_WAS,Team Name_Atlanta Dream,Team Name_Atlanta Hawks,Team Name_Boston Celtics,Team Name_Brooklyn Nets,Team Name_Charlotte Hornets,Team Name_Chicago Bulls,Team Name_Chicago Sky,Team Name_Cleveland Cavaliers,Team Name_Connecticut Sun,Team Name_Dallas Mavericks,Team Name_Dallas Wings,Team Name_Denver Nuggets,Team Name_Detroit Pistons,Team Name_Golden State Warriors,Team Name_Houston Rockets,Team Name_Indiana Fever,Team Name_Indiana Pacers,Team Name_Las Vegas Aces,Team Name_Los Angeles Clippers,Team Name_Los Angeles Lakers,Team Name_Los Angeles Sparks,Team Name_Memphis Grizzlies,Team Name_Miami Heat,Team Name_Milwaukee Bucks,Team Name_Minnesota Lynx,Team Name_Minnesota Timberwolves,Team Name_New Orleans Pelicans,Team Name_New York Knicks,Team Name_New York Liberty,Team Name_Oklahoma City Thunder,Team Name_Orlando Magic,Team Name_Philadelphia 76ers,Team Name_Phoenix Mercury,Team Name_Phoenix Suns,Team Name_Portland Trail Blazers,Team Name_Sacramento Kings,Team Name_San Antonio Spurs,Team Name_Seattle Storm,Team Name_Toronto Raptors,Team Name_Utah Jazz,Team Name_Washington Mystics,Team Name_Washington Wizards,City_Atlanta,City_Boston,City_Brooklyn,City_Charlotte,City_Chicago,City_Cleveland,City_Connecticut,City_Dallas,City_Denver,City_Detroit,City_Houston,City_Indiana,City_Indianapolis,City_Las Vegas,City_Los Angeles,City_Memphis,City_Miami,City_Milwaukee,City_Minneapolis,City_Minnesota,City_New Orleans,City_New York,City_New York City,City_Oklahoma City,City_Orlando,City_Philadelphia,City_Phoenix,City_Portland,City_Sacramento,City_Salt Lake City,City_San Antonio,City_San Francisco,City_Seattle,City_Toronto,City_Washington,League_NBA,League_WNBA,Playstyle_Cluster,PER
Precious Achiuwa,2.050986740610098,0.18768103006023787,-0.7061751516339081,0.21240092426889282,0.03195710031864949,0.6362489892233969,-0.5334200124600191,-0.44226894476480727,-0.18619380909871958,0.457710445579092,0.3099721175149696,0.5861937828634424,-0.25346616676396366,-0.023912892241478287,-0.5659536696554632,2.61150727508408,0.46096975050913386,-0.22382732422233348,-0.0009571318015845258,0.6336401104695493,0.013462213705076036,0.43423588618029063,-0.11175715761377471,,False,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.4053936765152239
Bam Adebayo,1.9099795888295765,2.8973318188566104,-0.6689031189159003,2.224893903671923,1.8516584189904275,0.8011121194980244,-0.14641891221235956,-0.7975629256115707,0.3859690975614851,3.0232257064368357,2.9744921371880486,0.3555526097634139,2.37394556789788,2.689844405915762,0.09869268699890042,2.0369845406571634,4.126449687727487,0.061369816285093776,0.8993282623898524,1.5304083851317438,1.5712326567209847,0.8110906016867575,1.6519552464844498,Florida,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1.9252402413184821
Ochai Agbaji,2.2389962763174607,0.6989358958708742,-0.7089474515881401,-0.20881853653639265,-0.12726676506513113,-0.10563509701242611,-0.26016387692782145,0.2683190169287197,-0.01904509479349138,-0.2834384075575895,-0.36381455412649877,0.32163479018988034,-0.5818926335966942,-0.5666643518729263,-0.35078038872419426,0.16978565376968308,-0.15658674685172233,-0.6866184220033179,-0.005013517429561771,0.048079098098575745,-0.3759803970489013,-0.0682370678283313,-0.38309752747503995,,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,-0.17859509248810354
Santi Aldama,1.439955749561171,1.0568143019383198,-0.6920056185345002,0.5868182227624796,0.7143450948205664,0.09220065931712682,0.540783838744252,1.435713525425228,0.3345387239291071,0.172653194372676,0.09558544926541145,0.3962539932516542,-0.25346616676396366,-0.09175682469540934,-0.5420455273297667,0.6006777045898707,0.8265483985709814,-0.003846678605672645,0.1790999470367028,0.8789541350425538,0.013462213705076036,-0.0682370678283313,0.3555512571472932,Tennessee,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0.7364388251029454
Nickeil Alexander-Walker,2.427005812024823,0.2899320032223651,-0.7015546517101882,0.07199443733379758,0.10019589976884112,0.1251732853720523,0.8821279722297048,0.9789069786222463,0.6045481854990917,-0.39746130804015584,-0.45569455480488075,0.28093340670164,-0.4997860168885116,-0.4988204194189952,0.3138659679301694,-0.5483677642639632,-0.23008552412163755,0.26690774515029003,0.6172637470355594,-0.028981442985107336,-0.24616619346424223,0.18299940917597965,-0.05145929764460457,Minnesota,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.27350697381053735
Grayson Allen,2.0979891245369386,3.050708278599801,-0.6704432855571403,0.8208290343209715,0.6688525618537717,0.6197626761959342,2.4527792648213036,1.8925200722282098,1.054563954782399,-0.11240405683373984,-0.2413078865553226,0.6404622941810955,0.4033867669014973,0.3153067700281767,0.6868329882110351,-0.2611063970505047,-0.05552592810558878,0.6074528048480072,0.92840237926812,0.048079098098575745,0.2730906208743942,0.6854723631846018,0.7776362769314837,Arizona,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,0.6664355353473489
Jarrett Allen,2.1919938923906197,3.2040847383429925,-0.6759878854656043,1.8504766051783357,1.01004655910473,1.7325888055496685,-0.16707667858167244,-1.0513443405021161,-1.9091113257833816,2.681157004989137,2.0250654635114342,1.1017446403811524,1.4707727841078715,1.7400293515607275,0.03653151695208938,3.4732913767244558,4.187010814018006,-0.021692907609176037,0.1790999470367028,2.191744356853821,0.6625332316283715,0.43423588618029063,1.2298702267002595,Ohio,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1.799755709094556
Timmy Allen,-1.1921777503419002,-0.7325777283989076,-0.6966261184582202,-0.7236423219650746,-0.35472942989910333,-1.3421085740721306,-0.8639442743690258,-0.3915126617866983,-1.9091113257833816,-0.45447275828143907,-0.2413078865553226,-0.6823326691867135,-0.8282124837212421,-0.7701961492347191,-1.1206225716116227,0.026154970162953865,-0.11960480647982231,-0.353028970039723,0.35915702587499027,-0.9239916103508831,-0.8952372113875376,2.5697459407169343,-0.8654804072284004,Tennessee,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,-0.3751149918495005
Jose Alvarado,1.2049438299269681,-0.7325777283989076,-0.7169563181225881,-0.11521421191299584,0.009210833835252346,-0.09739194049869475,0.5965550099403231,0.7758818467098103,0.5145450316424302,-0.5114842085227221,-0.45569455480488075,-0.07859548077781581,-0.4997860168885116,-0.43097648696506424,-0.2934008471425225,-0.5483677642639632,-0.20252348264541936,-0.005528302607883689,1.550679643733241,-0.18310252515247352,-0.5057946006335605,0.05738117067382432,-0.1871294825752373,Louisiana,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.3876971941287386
Kyle Anderson,2.285998660244301,-0.2213228625882712,-0.7040189183361721,-0.11521421191299584,-0.15001303154852827,0.2982795721604111,-0.781313208891774,-0.7975629256115707,-0.43691688055656225,0.22966464461395927,0.2793454506221757,0.0842100531751451,-0.007146316639415858,0.11177497266638367,-0.1260438508626472,0.026154970162953865,-0.08018175626937213,0.5064966704133242,0.5392141047132777,0.2779722199114081,0.14327641728973495,0.05738117067382432,-0.2926507375212848,Minnesota,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.5273886656631357
