Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,22,332,22,0,15.1,2.1,4.1,0.516,0,0.1,0,2.1,4,0.528,1,1.2,0.815,1.1,4.1,1.7,0.4,0.3,1,1.6,5.3
Julie Allemand,CHI,G,25,402,25,4,16.1,1,2.4,0.417,0.4,1.2,0.29,0.6,1.2,0.552,0.6,0.7,0.833,0.4,1.6,3.4,0.6,0.1,1.3,0.9,3
Lindsay Allen,MIN,G,9,134,9,0,14.9,2.2,4.2,0.526,0.9,1.6,0.571,1.3,2.7,0.5,1.3,1.4,0.923,0,1.6,3.4,0.2,0,0.8,1.2,6.7
Rebecca Allen,NYL,G,25,523,25,19,20.9,2.6,6.8,0.379,1,3.3,0.313,1.5,3.4,0.442,0.8,1,0.833,0.3,3.4,1.2,0.8,1,1,1.9,7
Yvonne Anderson,CON,G,11,101,11,0,9.2,1.1,2.4,0.462,0.4,0.9,0.4,0.7,1.5,0.5,0.6,0.6,1,0.3,0.8,1.1,0.3,0.2,1,1.3,3.2
Kristine Anigwe,PHO,F-C,10,65,10,1,6.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,1,0.5,0.5,1.3,0.2,0.1,0.2,0.6,1.2,1.5
Ariel Atkins,WAS,G,36,1081,36,36,30,5.1,12.2,0.42,1.9,5.3,0.365,3.2,6.9,0.464,2.4,2.9,0.845,0.9,3.3,2.3,1.4,0.3,1.4,2.8,14.6
Amy Atwell,LAS,F,4,32,4,1,8,0.3,2.3,0.111,0.3,1.5,0.167,0,0.8,0,0,0,,0.3,0.5,0.5,0,0,0.5,0.3,0.8
Shakira Austin,WAS,C-F,36,776,36,32,21.6,3.4,6.2,0.547,0,0,0,3.4,6.2,0.55,1.9,3,0.624,1.8,6.5,0.9,0.7,0.8,1.5,2.3,8.7
Rachel Banham,MIN,G,36,630,36,5,17.5,2.8,6.5,0.43,1.6,4.1,0.383,1.2,2.4,0.512,0.7,0.8,0.8,0.1,1.3,2.3,0.3,0.1,1.3,1.7,7.9
Kierstan Bell,LVA,G,21,121,21,1,5.8,0.5,1.6,0.303,0.1,1,0.136,0.3,0.5,0.636,0.2,0.2,1,0.2,0.9,0.3,0.1,0.1,0.2,0.5,1.3
Katie Benzan,WAS,G,3,27,3,0,9,1.7,3,0.556,1.7,2.3,0.714,0,0.7,0,1,1.3,0.75,0.3,0.7,0.3,0,0.3,0.7,2.3,6
Monique Billings,ATL,F,23,401,23,8,17.4,2.4,5.1,0.47,0,0,0,2.4,5,0.474,1.7,2.2,0.765,2,6.3,1.1,0.8,0.3,1.3,2.3,6.5
Sue Bird,SEA,G,31,818,31,31,26.4,2.7,6.8,0.403,1.8,4.6,0.389,0.9,2.2,0.433,0.5,0.5,1,0.2,1.9,6,1.2,0.1,1.9,0.7,7.8
